zt, wre_ref, wre, wre_refF, wm_ref, wm, wm_refF, va, ia, dwre, zdwre, e_induced
10.383000, 83.774114, 83.777759, 83.774114, 800.000000, 800.034810, 800.000000, 83.877669, 0.099898, -0.003646, 0.161298, 83.777759
10.384000, 83.774114, 83.777749, 83.774114, 800.000000, 800.034713, 800.000000, 83.877659, 0.099898, -0.003636, 0.161295, 83.777749
10.385000, 83.774114, 83.777739, 83.774114, 800.000000, 800.034615, 800.000000, 83.877649, 0.099898, -0.003626, 0.161291, 83.777739
10.386000, 83.774114, 83.777728, 83.774114, 800.000000, 800.034518, 800.000000, 83.877639, 0.099899, -0.003616, 0.161288, 83.777728
10.387000, 83.774114, 83.777718, 83.774114, 800.000000, 800.034421, 800.000000, 83.877629, 0.099899, -0.003606, 0.161284, 83.777718
10.388000, 83.774114, 83.777708, 83.774114, 800.000000, 800.034325, 800.000000, 83.877619, 0.099899, -0.003595, 0.161280, 83.777708
10.389000, 83.774114, 83.777698, 83.774114, 800.000000, 800.034229, 800.000000, 83.877609, 0.099899, -0.003585, 0.161277, 83.777698
10.390000, 83.774114, 83.777688, 83.774114, 800.000000, 800.034133, 800.000000, 83.877599, 0.099900, -0.003575, 0.161273, 83.777688
10.391000, 83.774114, 83.777678, 83.774114, 800.000000, 800.034037, 800.000000, 83.877590, 0.099900, -0.003565, 0.161270, 83.777678
10.392000, 83.774114, 83.777668, 83.774114, 800.000000, 800.033942, 800.000000, 83.877580, 0.099900, -0.003555, 0.161266, 83.777668
10.393000, 83.774114, 83.777658, 83.774114, 800.000000, 800.033846, 800.000000, 83.877570, 0.099900, -0.003545, 0.161262, 83.777658
10.394000, 83.774114, 83.777648, 83.774114, 800.000000, 800.033751, 800.000000, 83.877560, 0.099901, -0.003535, 0.161259, 83.777648
10.395000, 83.774114, 83.777638, 83.774114, 800.000000, 800.033657, 800.000000, 83.877551, 0.099901, -0.003525, 0.161255, 83.777638
10.396000, 83.774114, 83.777628, 83.774114, 800.000000, 800.033562, 800.000000, 83.877541, 0.099901, -0.003516, 0.161252, 83.777628
10.397000, 83.774114, 83.777618, 83.774114, 800.000000, 800.033468, 800.000000, 83.877532, 0.099902, -0.003506, 0.161248, 83.777618
